ID,Sta,cast,nisk,qc,YYYY,MM,DD,TIME,Lat,Long,btm,Press,CTD T,CTD Salt,Bot Sal,qc,CTD O2,Bot O2,qc,DIC,qc,TA,qc,pH TOT,pH Temp,qc,CO3,qc,Sil,Amm,Nitra,Nitri,PO4,qc,Line,PO4 4 co2sys,SIL 4 co2sys,nut flag,TA 4 co2sys,TA flag,DIC 4 co2sys,DIC flag,Blanc1,pH TOT in situ,pCO2,CO2,HCO3,CO3,Calc,Arag,Revelle Factor,Blanc2,pH TOT in situ,pCO2,CO2,HCO3,CO3,Calc,Arag,Revelle Factor
640114,64,1,14,2,2016,05,25,13:03:55,40.004,-124.937,1492,40.6,9.74,33.305,-999.000,9,198.8,195.2,2,2123.1,2,2225.8,2,7.6243,25.0,2,93.18,2,19.59,0.32,18.91,0.26,1.52,2,8,1.52,19.59,2,2225.8,2,2123.1,2,,7.863,619.79,27.60,2009.95,85.55,2.04,1.30,15.89,,7.863,619.79,27.60,2009.95,85.55,2.04,1.30,15.89
640115,64,1,15,2,2016,05,25,13:05:17,40.004,-124.937,1492,30.4,10.64,33.283,-999.000,9,229.3,-999,9,2093.2,2,2227.2,6,7.7186,25.0,2,106.29,2,14.30,0.41,13.42,0.21,1.20,2,8,1.20,14.30,2,2227.2,2,2093.2,2,,7.939,512.95,22.17,1967.68,103.35,2.47,1.57,14.46,,7.939,512.95,22.17,1967.68,103.35,2.47,1.57,14.46
640116,64,1,16,2,2016,05,25,13:06:44,40.004,-124.937,1492,20.4,11.71,33.049,-999.000,9,268.4,-999,9,2052.3,2,2217.5,6,7.7993,25.0,2,123.55,2,7.82,0.24,7.43,0.16,1.18,2,8,1.18,7.82,2,2217.5,2,2052.3,2,,8.008,429.90,17.97,1912.48,121.85,2.93,1.86,13.16,,8.008,429.90,17.97,1912.48,121.85,2.93,1.86,13.16
640117,64,1,17,2,2016,05,25,13:07:58,40.004,-124.937,1492,9.9,13.26,32.778,-999.000,9,271.1,271.8,2,2012.7,2,2202.9,2,7.8641,25.0,2,140.10,2,3.12,0.18,2.45,0.09,0.53,2,8,0.53,3.12,2,2202.9,2,2012.7,2,,8.050,383.84,15.30,1859.56,137.84,3.32,2.12,12.21,,8.050,383.84,15.30,1859.56,137.84,3.32,2.12,12.21
640118,64,1,18,2,2016,05,25,13:08:50,40.004,-124.937,1492,4.2,13.29,32.773,32.777,2,270.9,271.5,2,2007.3,2,2200.7,6,7.8713,25.0,6,145.82,6,2.36,0.17,1.73,0.08,0.50,2,8,0.50,2.36,2,2200.7,2,2007.3,2,,8.058,376.18,14.98,1852.52,139.80,3.38,2.15,12.09,,8.058,376.18,14.98,1852.52,139.80,3.38,2.15,12.09
640119,64,1,19,2,2016,05,25,13:08:57,40.004,-124.937,1492,4.2,13.29,32.773,-999.000,9,270.9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,-999,-999,-999,9,8,0.60,4.60,3,2210.9,3,2022.3,3,,-999.000,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,,8.017,426.42,16.98,1909.16,130.99,3.16,2.02,12.73
640120,64,1,20,2,2016,05,25,13:09:08,40.004,-124.937,1492,4.1,13.29,32.773,-999.000,9,270.9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,-999,-999,-999,9,8,0.60,4.60,3,2210.9,3,2022.3,3,,-999.000,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,,8.017,426.39,16.98,1909.16,130.99,3.16,2.02,12.73
650101,65,1,1,2,2016,05,25,15:35:58,39.891,-125.201,2478,2501.0,1.83,34.635,34.635,2,89.5,0.0,4,2371.6,3,2427.0,6,7.4655,25.0,2,71.00,2,163.80,0.00,39.84,0.03,2.94,2,8,2.94,163.80,2,2427.0,2,2371.6,3,,7.701,727.43,42.54,2269.66,59.40,0.86,0.56,18.83,,7.701,727.43,42.54,2269.66,59.40,0.86,0.56,18.83
650102,65,1,2,2,2016,05,25,15:46:32,39.891,-125.201,2478,1999.8,2.06,34.605,-999.000,9,69.0,69.3,2,2379.9,2,2421.1,2,7.4261,25.0,2,64.54,2,160.40,0.03,40.83,0.02,3.00,2,8,3.00,160.40,2,2421.1,2,2379.9,2,,7.672,825.43,47.86,2277.72,54.32,0.87,0.56,19.13,,7.672,825.43,47.86,2277.72,54.32,0.87,0.56,19.13
650103,65,1,3,2,2016,05,25,15:57:28,39.891,-125.201,2478,1500.3,2.67,34.539,-999.000,9,38.5,39.0,2,2380.4,6,2403.3,2,7.3605,25.0,2,56.09,2,148.11,0.03,42.57,0.02,3.15,2,8,3.15,148.11,2,2403.3,2,2380.4,2,,7.624,979.42,55.53,2276.87,48.00,0.85,0.54,19.28,,7.624,979.42,55.53,2276.87,48.00,0.85,0.54,19.28
